CourseID,CourseName,CreditHours,Instructor,Prerequisite,Syllabus
CS101,Introduction to Programming,3,Dr. Smith,None,Programming basics, variables, control structures, functions
CS201,Algorithms,3,Dr. Adams,CS102,Sorting, searching, trees, graphs, algorithm complexity
CS102,Data Structures,3,Dr. Johnson,CS101,Arrays, pointers, recursion, linked lists, stacks and queues
CS301,Advanced Programming,3,Dr. Williams,CS201,OOP principles, design patterns, file I/O, multithreading
MATH101,Calculus I,3,Dr. Green,None,Limits, derivatives, integration, applications of calculus
PHY101,Physics I,3,Dr. Newton,None,Kinematics, dynamics, Newton’s laws, energy, momentum
MATH201,Linear Algebra,3,Dr. Brown,MATH102,Matrices, determinants, vector spaces, eigenvalues
CHEM101,Chemistry Basics,3,Dr. Curie,None,Atomic structure, periodic table, bonding, acids and bases
MATH102,Calculus II,3,Dr. Green,MATH101,Advanced integration, sequences, series, polar coordinates
ENG101,English for Engineers,2,Dr. Adams,None,Technical writing, email etiquette, reports, proposals
PHY201,Physics II,3,Dr. Einstein,PHY101,Electricity, magnetism, optics, modern physics
AI301,Introduction to AI,3,Dr. Turing,CS201,Search algorithms, logic, ML basics, neural networks
SWENG101,Software Engineering,3,Dr. Brooks,CS102,SDLC, UML, testing, agile, version control
DB101,Databases,3,Dr. Codd,CS102,SQL, ER diagrams, normalization, transactions
COMM201,Communication Skills,2,Dr. Mayer,None,Public speaking, group communication, listening skills
